image,pred_short_mm,pred_long_mm,gt_short_mm,gt_long_mm,short_abs_err_mm,long_abs_err_mm,short_pct_err,long_pct_err
IMG_0334.jpg,73.4,153.78,79.0,160.0,5.6,6.22,7.09,3.89
IMG_0335.jpg,71.6,158.32,79.0,160.0,7.4,1.68,9.37,1.05
IMG_0342.jpg,82.14,161.8,79.0,160.0,3.14,1.8,3.97,1.13
IMG_0343.jpg,78.86,152.11,79.0,160.0,0.14,7.89,0.18,4.93
IMG_0344.jpg,78.39,155.46,79.0,160.0,0.61,4.54,0.77,2.84
IMG_0345.jpg,78.77,151.07,79.0,160.0,0.23,8.93,0.29,5.58
IMG_0348.jpg,88.08,166.13,79.0,160.0,9.08,6.13,11.49,3.83
IMG_0357.jpg,79.51,159.44,79.0,160.0,0.51,0.56,0.65,0.35
IMG_0358.jpg,80.78,160.52,79.0,160.0,1.78,0.52,2.25,0.33
IMG_0359.jpg,77.49,160.41,79.0,160.0,1.51,0.41,1.91,0.26
IMG_0360.jpg,79.4,162.31,79.0,160.0,0.4,2.31,0.51,1.44
IMG_0362.jpg,83.67,166.14,79.0,160.0,4.67,6.14,5.91,3.84
IMG_0365.jpg,83.86,169.38,79.0,160.0,4.86,9.38,6.15,5.86
IMG_0366.jpg,80.44,163.95,79.0,160.0,1.44,3.95,1.82,2.47
IMG_0372.jpg,79.13,158.46,79.0,160.0,0.13,1.54,0.16,0.96
IMG_0375.jpg,83.48,169.3,79.0,160.0,4.48,9.3,5.67,5.81
IMG_0376.jpg,80.25,162.45,79.0,160.0,1.25,2.45,1.58,1.53
IMG_0385.jpg,79.09,159.4,79.0,160.0,0.09,0.6,0.11,0.37
IMG_0398.jpg,81.03,172.28,79.0,160.0,2.03,12.28,2.57,7.67
IMG_0400.jpg,81.18,167.93,79.0,160.0,2.18,7.93,2.76,4.96
IMG_0401.jpg,83.07,165.68,79.0,160.0,4.07,5.68,5.15,3.55
IMG_0407.jpg,82.21,169.18,79.0,160.0,3.21,9.18,4.06,5.74
IMG_0408.jpg,77.08,163.43,79.0,160.0,1.92,3.43,2.43,2.14
IMG_0409.jpg,81.27,159.19,79.0,160.0,2.27,0.81,2.87,0.51
