image,pred_short_mm,pred_long_mm,gt_short_mm,gt_long_mm,short_abs_err_mm,long_abs_err_mm,short_pct_err,long_pct_err
IMG_0334.jpg,73.59,154.17,79.0,160.0,5.41,5.83,6.85,3.64
IMG_0335.jpg,72.48,160.16,79.0,160.0,6.52,0.16,8.25,0.1
IMG_0342.jpg,81.9,161.28,79.0,160.0,2.9,1.28,3.67,0.8
IMG_0343.jpg,79.07,152.39,79.0,160.0,0.07,7.61,0.09,4.76
IMG_0344.jpg,78.55,156.31,79.0,160.0,0.45,3.69,0.57,2.31
IMG_0345.jpg,79.1,151.21,79.0,160.0,0.1,8.79,0.13,5.49
IMG_0348.jpg,88.51,166.65,79.0,160.0,9.51,6.65,12.04,4.16
IMG_0357.jpg,82.49,165.59,79.0,160.0,3.49,5.59,4.42,3.49
IMG_0358.jpg,81.2,161.86,79.0,160.0,2.2,1.86,2.78,1.16
IMG_0359.jpg,77.52,159.97,79.0,160.0,1.48,0.03,1.87,0.02
IMG_0360.jpg,79.82,162.21,79.0,160.0,0.82,2.21,1.04,1.38
IMG_0362.jpg,83.75,166.77,79.0,160.0,4.75,6.77,6.01,4.23
IMG_0365.jpg,83.74,170.29,79.0,160.0,4.74,10.29,6.0,6.43
IMG_0366.jpg,80.17,163.73,79.0,160.0,1.17,3.73,1.48,2.33
IMG_0372.jpg,79.19,158.45,79.0,160.0,0.19,1.55,0.24,0.97
IMG_0375.jpg,83.44,168.74,79.0,160.0,4.44,8.74,5.62,5.46
IMG_0376.jpg,80.17,163.14,79.0,160.0,1.17,3.14,1.48,1.96
IMG_0385.jpg,79.67,160.84,79.0,160.0,0.67,0.84,0.85,0.53
IMG_0398.jpg,81.03,172.63,79.0,160.0,2.03,12.63,2.57,7.89
IMG_0400.jpg,81.77,171.86,79.0,160.0,2.77,11.86,3.51,7.41
IMG_0401.jpg,82.82,165.71,79.0,160.0,3.82,5.71,4.84,3.57
IMG_0407.jpg,81.93,168.21,79.0,160.0,2.93,8.21,3.71,5.13
IMG_0408.jpg,76.88,162.98,79.0,160.0,2.12,2.98,2.68,1.86
IMG_0409.jpg,81.52,160.17,79.0,160.0,2.52,0.17,3.19,0.11
