epoch,train_loss,val_loss,mAP_0.5:0.95,mAP_0.5,mean_mask_IoU,precision,recall,f1
1,1.1666,0.6538,0.1775,0.4788,0.3889,0.8182,0.5625,0.6667
2,0.4433,0.4712,0.5789,0.8059,0.7026,0.8125,0.8125,0.8125
3,0.2884,0.3299,0.6771,0.827,0.7624,0.875,0.875,0.875
4,0.2365,0.3145,0.7403,0.8428,0.8031,0.875,0.875,0.875
5,0.229,0.3095,0.6045,0.8428,0.7519,0.875,0.875,0.875
6,0.1938,0.3277,0.7362,0.8547,0.8051,0.875,0.875,0.875
7,0.1722,0.2768,0.7873,0.8713,0.8235,0.875,0.875,0.875
8,0.1447,0.2764,0.832,0.8713,0.8363,0.875,0.875,0.875
9,0.1234,0.27,0.8411,0.8713,0.8364,0.875,0.875,0.875
10,0.1153,0.2895,0.8411,0.8713,0.8387,0.875,0.875,0.875
11,0.1172,0.289,0.8411,0.8713,0.8368,0.875,0.875,0.875
12,0.1141,0.2946,0.8411,0.8713,0.8389,0.875,0.875,0.875
13,0.1097,0.2895,0.8416,0.8713,0.8379,0.875,0.875,0.875
14,0.1114,0.2927,0.8403,0.8713,0.8402,0.875,0.875,0.875
15,0.109,0.3,0.8356,0.8713,0.838,0.875,0.875,0.875
16,0.1032,0.2946,0.8403,0.8713,0.8378,0.875,0.875,0.875
17,0.1065,0.2943,0.8383,0.8713,0.8391,0.875,0.875,0.875
18,0.1051,0.2919,0.8403,0.8713,0.84,0.875,0.875,0.875
19,0.1069,0.2921,0.8403,0.8713,0.8396,0.875,0.875,0.875
20,0.1094,0.2963,0.8403,0.8713,0.8395,0.875,0.875,0.875
